front,back,hint,publishedAt
"neben","Next","Er setzt sich neben Lottas Bett.","2023-07-18T17:59:23.225Z"
"gemütlich","cozy","Meine Wohnung ist nicht sehr groß aber gemütlich.","2023-07-16T15:49:32.136Z"
"Ich würde gern","I would like to","Ich würde gern bestellen.","2023-07-17T21:53:01.439Z"
"zwischen","between","Obwohl zwischen hohen Gebirgen eingebettet\nund mit Ausnahme der legandären Käsefondue-Bergwerke","2023-07-18T18:04:18.993Z"
"Einige","Some","Einige gehen ans Meer, andere in die Berge.","2023-07-01T18:01:48.264Z"
"dabei sein","be there / be in","Ist er dabei oder was?","2023-07-17T21:52:56.840Z"
"Geschäftsleute","Business people","Die Männer, Hans und Fritz, waren beide Geschäftsleute und hatten die Reise geplant, um in Hamburg ein Treffen zu haben.","2023-07-16T19:59:03.281Z"
"sicher","for sure","Ich bin sicher, dass ich das schaffe.","2023-07-16T13:10:36.676Z"
"die Reise/Reisen","the trip / journey / tour /(pl)","Die Reise nach Afrika war erfolgreich.","2023-07-16T13:11:10.286Z"
"am wichtigsten","most importantly","Am wichtigsten ist die Familie.","2023-07-15T20:14:22.409Z"
"die Anlage","the attachment / system","Die ganze Anlage kann mit einem Knopfdruck ausgeschaltet werden.","2023-09-19T21:16:36.111Z"
"die Tätigkeit","the activity","","2023-09-29T10:38:32.150Z"
"ernten","to harvest","","2023-09-09T22:58:06.993Z"
"belauschen","eavesdrop","Die Sekretärin belauschte die Telefongespräche ihres Chefs.","2023-09-19T21:16:47.178Z"
"zahlreichen","numerous","","2023-09-29T10:38:09.559Z"
"der Beamer/Beamer","the projector","","2023-09-29T10:38:06.497Z"
"sich bewähren","prove","Was hat sich beim Lernen bewährt?","2023-09-20T18:03:35.709Z"
"abschnittweise","in sections","","2023-09-20T18:03:27.354Z"
"belügen","to lie","Das Kind belog die Mutter.","2023-09-20T18:02:33.808Z"
"der Wettkampf","Competition","","2023-09-10T14:58:21.567Z"
"Zeitlich","Temporal","","2023-09-10T14:58:18.707Z"
"der Käfer","the beetle","Siehst du den Käfer?","2023-07-15T10:11:57.602Z"
"beschädigen","to damage","Sie hat das Auto nicht absichtlich beschädigt.","2023-07-15T10:12:06.093Z"
"der Lärm","the noise","","2023-07-14T15:39:29.192Z"
"rudern","to row","","2023-09-10T14:58:06.567Z"
"andererseits","on the other hand","Einerseits ist es gefährlich, andererseits haben wir keine andere Möglichkeit.","2023-07-14T15:34:59.700Z"
"die Verbindung","connection","","2023-09-09T22:57:17.444Z"
"das Reh","the deer","Das Reh lebt einzeln oder in kleinen Gruppen.","2023-07-14T18:25:37.919Z"
"der Meineid","Perjury","einen Meineid schwören","2023-09-16T12:07:24.569Z"
"der Mensch/Menschen","the human being / the people","Am Wochenende fahren viele Menschen zur Erholung in die Berge.","2023-06-30T11:12:58.358Z"
"der Verdächtige","the suspect","Der Verdächtige hatte bei der polizeilichen Einvernahme ein Geständnis abgelegt.","2023-09-19T21:16:19.078Z"
"darlegen","expound / explain / state","","2023-09-20T18:03:17.210Z"
"etwas bezweifeln","to doubt something","Ich bezweifle, dass er das getan hat.","2023-07-10T15:29:41.801Z"
"erzielen","achieve","Durch die günstigen Preise erzielte die Firma einen Zuwachs an Marktanteilen.","2023-09-19T21:16:13.953Z"
"ausgestattet","equipped","","2023-09-20T18:03:01.645Z"
"die Festnahme","the arrest","Nach seiner Festnahme gestand der Verdächtige die Tat.","2023-09-19T21:16:16.766Z"
"das Mittelalter","the middle Ages","","2023-08-07T18:05:43.797Z"
"entwenden","to steal","Der Dieb entwendete der Dame den Schmuck.","2023-09-19T21:16:38.800Z"
"überfrachten","overload","","2023-09-17T10:34:00.664Z"
"die Einsparmaßnahmen","Savings measures","","2023-09-17T10:34:07.723Z"
"wahrhaftig","truly","","2023-09-20T18:03:14.330Z"
"angeblich","alleged","Die angebliche Affäre entpuppte sich als Irrtum.","2023-09-15T14:35:28.023Z"
"geeignet sein","be suitable","","2023-09-17T10:34:21.089Z"
"das Bekenntnis","the confession","","2023-09-16T12:07:39.748Z"
"das Parfüm","the perfume","","2023-07-27T16:30:59.258Z"
"das Gefühl","the feeling","Ich hatte ein schlechtes Gefühl.","2023-07-21T11:12:25.144Z"
"umwerfend","stunning","Sie sehen absolut umwerfend aus.","2023-07-21T10:35:08.679Z"
"das Foto","the photo","","2023-07-21T19:18:46.268Z"
"mahnen","remind/urge","Er mahnte mich, es nicht zu vergessen.","2023-09-19T21:16:32.044Z"
"das Pferd","the horse","","2023-07-21T19:18:03.664Z"
"treten","to step","tritt · trat · ist getreten\nich\ttret(e)⁵\ndu\ttrittst\ner\ttritt\nwir\ttreten\nihr\ttretet\nsie\ttreten","2023-07-30T00:15:08.754Z"
"zerbrochene","broken","","2023-07-31T23:06:32.679Z"
"gefährden","endanger","","2023-09-17T10:34:30.758Z"
"der Reis","the rice","Der Reis schmeckt lecker.","2023-07-21T13:20:36.350Z"
"das Wetter","the weather","","2023-07-27T16:31:11.464Z"
"hineingehen","go inside","Bitte gehen Sie hier hinein.","2023-07-22T23:19:15.065Z"
"lästern über","gossip","= über abwesende Personen Übles reden, klatschen\nSie wussten, dass man über sie lästerte.","2023-09-17T10:34:05.088Z"
"erschrecken","frighten","Es erschreckt mich.","2023-09-17T10:34:24.309Z"
"das Menü/Menüs","the menu / menus","Das Restaurant hat nicht genug Menüs.","2023-07-02T12:31:00.691Z"
"herumtragen","carry around","Man muss kein Bargeld mit sich herumtragen und braucht keine Geldautomaten.","2023-07-08T09:55:04.583Z"
"Ich nehme zwei Brötchen.","I'll have two buns.","","2023-07-01T10:53:18.640Z"
"der Brief/Briefe","the letter(s)","Es gibt viele Briefe im Briefkasten.","2023-06-29T23:45:55.789Z"
"der Wald/Wälder","the forest / the forests","In der Nähe gibt's zwei große Wälder.","2023-07-02T12:31:49.845Z"
"Heiratsantrag","Marriage proposal","Er hat ihr einen Heiratsantrag gemacht und sie ist jetzt bis über beide Ohren verliebt.","2023-07-01T14:33:46.911Z"
"an allen Ecken und Enden","at all corners and ends","","2023-09-17T10:34:13.901Z"
"das Studium/Studien","the study / studies","","2023-07-02T15:52:24.504Z"
"die Idee/Ideen","the idea / the ideas","Ich habe nur gute Ideen.","2023-07-01T10:53:01.552Z"
"bescheinigen","certify/confirm","Wissenschaftliche Untersuchungen bescheinigen, dass diese Fischerei umweltverträglich ist.","2023-09-16T12:08:06.265Z"
"die Schulaufbahn","the school career","","2023-09-17T10:34:27.355Z"
"die Schmuddelecke","dingy corner","","2023-09-17T10:34:34.105Z"
"Falschbeurkundung","False certification","","2023-09-16T12:07:21.449Z"
"die Wolke","the cloud","Wolken ziehen hinter dem Mond vorbei.","2023-07-21T10:35:02.708Z"
"das Grundstück","the piece of property","","2023-09-09T22:57:53.399Z"
"der Beamtenstatus","the civil servant status","","2023-09-16T12:07:54.215Z"
"Der Verein","The club","","2023-09-10T14:58:16.122Z"
"der Baum/Bäume","the tree / the trees","Es gibt hier viele schöne Bäume.","2023-06-30T11:12:28.884Z"
"prahlen","brag / boast","Er hat vor ihr (mit seiner Bildung) geprahlt.","2023-09-16T12:07:11.141Z"
"offenbar","apparently","","2023-09-15T14:34:08.111Z"
"flüstern","whisper","Die Stimme des Ansagers flüsterte im Bildhintergrund.","2023-09-15T14:34:35.361Z"
"Tage vergehen.","Days go by.","","2023-06-30T11:10:06.896Z"
"das Gedicht/Gedichte","the poem(s)","Berühmte Gedichte der Romantik","2023-06-29T23:45:58.879Z"
"gegen einen Baum fahren","hit a tree","","2023-09-15T14:34:19.161Z"
"der Missbrauch","Abuse","Es sieht mehr nach üblichen Missbrauch aus.","2023-09-13T21:26:43.117Z"
"Der Einkaufszettel","The shopping list","","2023-08-06T14:04:39.752Z"
"der Deich","the dike","","2023-09-15T14:34:45.555Z"
"schwer verletzt","badly hurt","","2023-09-13T21:26:58.496Z"
"Dauernd","Permanent","","2023-09-13T21:13:51.828Z"
"Druckgefühl","Feeling of pressure","","2023-09-13T21:13:31.590Z"
"die Landesregierung","State government","Die Landesregierung hat ein Programm zur Heimatförderung aufgesetzt.","2023-09-13T21:26:33.774Z"
"mindestens","at least","","2023-09-13T21:21:55.284Z"
"Ganz von selbst","On its own","","2023-09-13T21:13:58.383Z"
"belegen","occupy/document","Die Studien belegen, dass ...\nAlle Zimmer sind belegt.","2023-09-13T21:26:13.140Z"
"Der Herzinfarkt","Heart attack","","2023-09-13T21:13:10.429Z"
"Aufhören","Stop","","2023-09-13T21:13:55.705Z"
"Bluten","Bleed","","2023-09-13T21:13:16.578Z"
"Untersuchen","Examine","","2023-09-13T21:13:45.973Z"
"Ratschläge","Advice","","2023-09-13T21:12:58.890Z"
"das Knie","knee","","2023-09-13T21:21:43.474Z"
"Fehlend","Missing","","2023-09-13T21:21:46.498Z"
"Der Kasten","The box","","2023-09-13T21:21:58.091Z"
"Verletzen","Hurt","","2023-09-13T21:13:13.877Z"
"die Notaufnahme","emergency department","","2023-09-13T21:21:52.166Z"
"Die Lücke","Gap","","2023-09-13T21:14:04.286Z"
"das Schweinefleisch","the pork","Ich esse kein Schweinefleisch.","2023-07-21T11:47:35.344Z"
"Sorge","Worry, Concern","Keine sorge, wenn deutsch nicht ihre muttersprache ist.","2023-09-13T21:13:22.130Z"
"das Badminton","the badminton","","2023-09-10T14:57:38.333Z"
"vorschlagen","to propose/to suggest","","2023-09-09T22:57:34.890Z"
"Teilnehmen","take part","","2023-09-10T14:58:24.832Z"
"Sondern","Rather","","2023-09-09T22:57:47.755Z"
"genauer","more accurate","","2023-09-09T22:57:50.527Z"
"der Kürbis","the pumpkin","","2023-09-09T22:58:09.847Z"
"der acker","the Field","","2023-09-09T22:58:04.397Z"
"Charme","Charm","","2023-09-10T14:57:17.408Z"
"stattfinden","to take place","Die Party findet am Freitag statt.","2023-08-07T18:06:08.793Z"
"das Gepäck","the luggage","","2023-07-21T19:18:50.121Z"
"Der Vortrag","The presentation / speech","","2023-09-09T22:57:22.904Z"
"Inner","Inner","","2023-09-10T14:58:34.866Z"
"hingehen","to go there","","2023-09-09T22:57:08.245Z"
"die Ermäßigung","discount","","2023-08-07T18:05:47.360Z"
"das Erdgeschoss","the ground floor","","2023-07-27T16:31:34.273Z"
"der Snack","the snack","","2023-07-21T15:07:16.529Z"
"Das Kostüm","The costume","","2023-09-09T22:57:28.468Z"
"Die Bühne","The stage","","2023-08-07T18:05:57.729Z"
"wächsen","grow","Kinder wächsen so schnell!","2023-07-30T14:17:49.954Z"
"die Bar","the bar","","2023-07-21T19:19:33.358Z"
"der Schal","the scarf","Du hast einen schönen Schal.","2023-07-21T10:51:49.385Z"
"Geborene","Born","","2023-07-31T23:06:38.753Z"
"Möbelpacker","Movers","","2023-07-30T15:12:12.279Z"
"aufstehen","stand up / get up","Ich stehe um 7 Uhr auf.","2023-07-27T14:04:47.321Z"
"das Kotelett","the chop","","2023-07-27T16:31:38.044Z"
"leuchten","shine","Der Mond leuchtet in der Dunkelheit.","2023-07-30T00:14:59.321Z"
"Mein Freund nimmt die Sachen.","My friend takes the things.","","2023-07-23T12:36:27.988Z"
"der Feiertag","the holiday (bank/red day)","","2023-07-27T14:08:36.003Z"
"verschwenden","to waste","verschwendet · verschwendete · hat verschwendet\nich\tverschwend(e)⁵\ndu\tverschwendest\ner\tverschwendet\nwir\tverschwenden\nihr\tverschwendet\nsie\tverschwenden","2023-07-28T01:37:15.106Z"
"die Torte","the pie","","2023-07-27T16:30:45.573Z"
"der Fall","the case","","2023-07-27T14:08:08.232Z"
"das Sonnenblumenöl","the sunflower oil","","2023-07-27T16:31:49.726Z"
"das Tal","the valley","","2023-07-27T16:31:04.005Z"
"der Hut","the hat","","2023-07-21T19:19:14.710Z"
"das Salz","the salt","Du sollst nicht so viel Salz benutzen.","2023-07-21T15:14:11.571Z"
"das Bargeld","the cash","","2023-07-21T19:17:40.824Z"
"sich ärgern über","to be angry","Der Vater ärgert sich über mich.\nWorüber ärgerst du dich?","2023-07-22T23:21:12.132Z"
"der Student/Studenten","the student(s)","Die Studenten lernen fleißig.","2023-06-29T23:39:14.804Z"
"der Zettel","the note / list of paper","","2023-07-21T15:16:05.698Z"
"der Rucksack","the backpack","Nimmst du deinen Rucksack mit?","2023-07-21T15:13:19.405Z"
"das Neue Jahr","the New Year","","2023-07-21T19:17:51.743Z"
"das Café","the cafe","","2023-07-21T15:16:00.315Z"
"das Radio","the radio","","2023-07-21T19:18:07.542Z"
"der Schlüssel","the key","Gibst du mir den Schlüssel?","2023-07-21T15:13:15.421Z"
"Liegenlassen","Leave there","Ihr könnt ihn da nicht liegenlassen.","2023-08-06T14:05:47.303Z"
"der Handschuh","the glove","Ich habe einen Handschuh verloren.","2023-07-21T11:12:28.944Z"
"Mal sehen","Let's see","","2023-08-07T18:06:11.584Z"
"Begriff","Term","","2023-08-07T18:05:40.581Z"
"Weich gekocht","Soft boiled","","2023-08-06T14:05:31.105Z"
"die Kreide, -n","the chalk","Der Lehrer musste eine neue Kreide holen.","2023-07-15T20:14:50.401Z"
"grüezi","greetings","Hallo und grüezi mitenand!","2023-07-18T18:02:46.026Z"
"Freut mich","I am pleased","Das freut mich sehr.","2023-07-21T10:56:33.821Z"
"gutaussehend","good looking","Du bist ein gutaussehendes Mädchen.","2023-07-21T10:51:53.113Z"
"gemeinsam","together","Gemeinsam schaffen wir das.","2023-07-21T10:56:39.835Z"
"Zufrieden","Satisfied","Seid ihr zufrieden?","2023-07-30T15:13:05.511Z"
"genehmigt","approved","Die Freigabe des Dokuments wurde vom Chef genehmigt.","2023-07-14T15:42:55.120Z"
"die Ausrüstung","the equipment","","2023-07-30T15:23:29.270Z"
"erraten","to guess (correctly)","","2023-07-31T23:06:11.040Z"
"stolz sein","to be proud","Ich bin stolz auf dich.","2023-07-31T23:06:27.385Z"
"die Burg","the castle / castles","","2023-07-14T18:25:54.369Z"
"verstecken","to hide","Wo versteckst du dich?","2023-07-30T15:12:31.448Z"
"besitzen","to have / own","","2023-07-30T15:24:35.295Z"
"das Unternehmen/Unternehmen","the enterprise / venture / corporation / organization","Wie kann man ein Unternehmen gründen?","2023-07-14T18:25:51.214Z"
"Fortgeschrittene","Advanced","Ein Kurs für Fortgeschrittene.","2023-07-30T15:23:35.439Z"
"fehlt","is missing","Was fehlt Ihnen?","2023-07-31T23:08:18.054Z"
"der Bahnhof","the station","","2023-07-27T16:31:22.240Z"
"das Blut","the blood","","2023-07-27T16:31:31.150Z"
"der Zugang","access","","2023-07-27T16:31:15.705Z"
"der Bauernhof","the farm","","2023-07-27T16:31:27.986Z"
"Beispiel","example","Zusätzlich sind diese Abrechnungen auch ein guter Beleg für einen Kauf, wenn man zum Beispiel für eine Versicherung nachweisen möchte.","2023-07-08T13:22:24.599Z"
"das Bratwurst","the bratwurst","","2023-07-27T16:31:38.698Z"
"weinen","to cry","Warum weint sie?","2023-07-30T14:17:17.579Z"
"das Rätsel","Puzzle","","2023-07-30T14:17:35.324Z"
"die Dose","the tin","","2023-07-27T16:31:33.364Z"
"die Begrüßung","the greeting","","2023-07-27T16:31:28.072Z"
"umarmen","embrace, hug","umarmt · umarmte · hat umarmt\nich\tumarm(e)⁵\ndu\tumarmst\ner\tumarmt\nwir\tumarmen\nihr\tumarmt\nsie\tumarmen","2023-07-30T00:15:11.655Z"
"die Marmelade","the jam","","2023-07-27T16:31:48.876Z"
"lachen","laugh","Es gibt nichts zum lachen.","2023-07-28T01:37:03.330Z"
"das Benzin","the petrol","","2023-07-27T16:31:28.912Z"
"achten auf","respect / think highly of / watch","Ich achte auf korrekte Aussprache.\nWir werden darauf achten.","2023-07-22T23:21:01.255Z"
"die Brücke","the bridge","","2023-07-27T16:30:52.821Z"
"Abrechnungen","Settlements","Außerdem geben die monatlichen Abrechnungen den Menschen eine Übersicht über die Ausgaben.","2023-07-08T09:55:19.598Z"
"der Pfannkuchen","the pancake","","2023-07-27T16:31:48.564Z"
"der Ball","the ball","","2023-07-27T16:31:44.289Z"
"das Skateboard","the skateboard","","2023-07-27T16:31:02.721Z"
"die Wäsche","the laundry","","2023-07-27T16:31:00.757Z"
"der Busfahrplan","the bus timetable","","2023-07-27T16:30:53.533Z"
"festsetzen","to set (in)","hat festgesetzt","2023-07-27T14:08:24.960Z"
"Etwa","About","","2023-07-27T14:09:25.448Z"
"der Gegner","The opponent","","2023-07-23T12:38:40.610Z"
"entschuldigen","to apologize","","2023-07-23T12:38:54.198Z"
"Ich putze immer meine Zähne.","I always brush my teeth.","","2023-07-27T14:04:58.439Z"
"Sie lässt es dich wissen.","She lets you know.","","2023-07-23T12:37:37.523Z"
"der Hammer","the hammer","","2023-07-23T12:38:58.242Z"
"Lädst du mich ein?","Are you inviting me?","","2023-07-27T14:04:29.564Z"
"Ich stehe früh auf.","I get up early.","","2023-07-27T14:04:49.943Z"
"der Bauer","the farmer","","2023-07-21T19:17:41.841Z"
"fressen (hat gefressen)","to eat (when referring to an animal)","","2023-07-23T12:38:47.350Z"
"das Auto/Autos","the car / cars","Viele Autos parken hier.","2023-07-02T12:31:11.883Z"
"die Sache","the thing","Noch eine letzte Sache.","2023-07-21T10:56:36.347Z"
"der Sonntag","Sunday","","2023-07-21T19:18:21.090Z"
"das Rathaus","the town hall","","2023-07-21T19:18:08.193Z"
"die Polizei","the police","","2023-07-21T19:18:05.963Z"
"der Vogel","the bird","Siehst du den kleinen Vogel im Garten?","2023-07-21T15:08:09.177Z"
"die Wand","the wall","","2023-07-21T19:19:54.353Z"
"die Tasse","the cup","","2023-07-21T19:19:11.881Z"
"die Palme","the palm","","2023-07-21T19:17:58.787Z"
"das Taxi","the taxi","","2023-07-21T19:18:22.458Z"
"das Loch","the hole","","2023-07-21T19:19:04.678Z"
"zurück","back","Ich gehe wieder zurück.","2023-07-21T15:14:05.710Z"
"das Problem","the problem","","2023-07-21T19:18:06.845Z"
"die Zahnbürste","the toothbrush","","2023-07-21T19:19:55.019Z"
"die Zitrone","the lemon","","2023-07-21T15:14:22.821Z"
"die Glühbirne","the light bulb","","2023-07-21T19:18:52.868Z"
"der Fisch","the fish","Der Fisch ist lecker.","2023-07-21T15:14:12.385Z"
"dies","this","Dies ist ein Problem.","2023-07-21T15:13:02.076Z"
"der Milchkaffee","The milk coffee","Kann ich einen Milchkaffee bekommen?","2023-07-21T15:06:20.578Z"
"die U-Bahn","the subway","","2023-07-21T19:19:39.589Z"
"bereit","ready","Bist du bereit?","2023-07-21T11:46:48.825Z"
"das Argument/argumente","the argument","","2023-07-15T20:14:14.977Z"
"Die Herkunft","the origin","","2023-07-31T23:06:43.265Z"
"wegen","because of","Ich habe es wegen ihm gemacht.","2023-07-21T11:46:39.727Z"
"die Absicht","the intent","Deine Absicht ist klar.","2023-07-14T15:34:49.366Z"
"wenig","little","Sie sollten sich ein wenig entspannen.","2023-07-21T12:43:48.089Z"
"Der Gürtel","the belt","","2023-08-06T14:05:27.773Z"
"Mager","Lean / skinny","","2023-08-06T14:05:20.730Z"
"hart","Hard","","2023-08-06T14:05:05.658Z"
"zum Mitnehmen","take away","Einen Kaffee zum Mitnehmen, bitte.","2023-07-21T11:12:16.155Z"
"die Gebärde","the gesture","Gebärden unterstützen die Kommunikation.","2023-07-21T10:34:47.471Z"
"die Anfrage","the request","eine Anfrage beantworten","2023-07-15T10:11:54.837Z"
"der Umschlag","the envelope","","2023-07-27T16:30:47.526Z"
"der Regen","the rain","Dieser Regen ist wirklich heftig.","2023-07-21T10:41:27.867Z"
"noch","still","Kannst du heute noch anrufen?","2023-07-21T11:12:11.354Z"
"der Versuch, -e","the experiment(s)","Ein Versuch war es Wert.","2023-07-15T20:14:12.221Z"
"Der Untertan","subservient","","2023-07-31T23:06:45.949Z"
"bestellen","to order","Ich bestelle neue Kleidung.","2023-07-21T10:42:07.706Z"
"Der Hügel","The hill","","2023-07-31T23:07:11.779Z"
"Weich","Soft","","2023-08-06T14:05:01.607Z"
"Dick","Thick","","2023-08-06T14:05:51.516Z"
"der Buchstabe","the letter","der Buchstabe","2023-07-16T15:48:41.540Z"
"geplant","planned","Die Männer, Hans und Fritz, waren beide Geschäftsleute und hatten die Reise geplant, um in Hamburg ein Treffen zu haben.","2023-07-16T19:59:08.542Z"
"schrecklich","Terrible","","2023-08-06T14:04:37.329Z"
"der Zwerg","dwarf","","2023-07-31T23:07:07.528Z"
"die Abnahme/Abnahmen","the decrease / fall / approval","Patienten berichten von einer Abnahme von bis zu funf kilogram","2023-07-14T18:25:08.941Z"
"fein","fine","","2023-07-31T23:07:17.025Z"
"reden (casual)","to speak (casual)","Mit wem redest du?","2023-07-31T23:06:24.221Z"
"verbringen","to spend","Du verbringst viel Zeit mit ihm.","2023-07-31T23:06:16.357Z"
"das Ereignis","the event","Er hat das Ereignis organisiert.","2023-07-15T18:22:07.764Z"
"bestreiten","deny","Niemand würde,\nbestreiten, dass die Schweiz eines der außergewöhnlichsten,","2023-07-18T18:03:48.732Z"
"der Tod","the death","","2023-07-31T23:06:59.157Z"
"das Pech","the bad luck","","2023-07-31T23:06:29.977Z"
"heutzutage","these days","Es gibt viele Gründe, warum der Alltag heutzutage stressig ist.","2023-07-16T13:13:05.528Z"
"Die Religion, -en","The religion","","2023-07-16T12:31:28.707Z"
"der Wurm/Würmer","the worm / the worms","In dem Apfel war ein Wurm.","2023-07-15T20:14:28.847Z"
"das Fahrzeug","the vehicle","Das ist mein Fahrzeug.","2023-07-17T21:50:17.644Z"
"unterhielten","entertained","Während der Fahrt unterhielten sie sich und stellten fest, dass sie viel gemeinsam hatten.","2023-07-16T19:59:35.723Z"
"die Anzeige","the ad","","2023-07-27T16:31:18.135Z"
"sich entspannen","to relax","Du sollst dich entspannen.","2023-07-30T15:23:15.478Z"
"Der Teppich","The carpet","","2023-07-30T15:12:36.184Z"
"verlieren","to lose","Wir verlieren immer.","2023-07-30T00:14:56.576Z"
"Angeben","Specify","","2023-07-30T14:18:18.420Z"
"die Ausbildung","training","","2023-07-27T16:31:20.752Z"
"vermieten","to rent","Er vermietet eine Wohnung.","2023-07-30T15:23:25.949Z"
"die Flasche","the bottle","","2023-07-27T16:31:47.579Z"
"der Eigentümer","the owner","Der Eigentümer dieser Wohnung ist sehr reich.","2023-07-14T15:34:25.407Z"
"das Loch / die Löcher","the hole / the holes","In der Socke ist ein Loch.","2023-07-14T15:34:29.834Z"
"die Motivation","the motivation","","2023-07-30T15:23:32.098Z"
"der Zwilling","the twin","","2023-07-30T15:24:37.469Z"
"bereuen","to regret","Er bereute es, so hartherzig gewesen zu sein","2023-07-10T15:29:51.414Z"
"Großeltern vaterlicherseits / mütterlicherseits","grandparents on father's/mother's side","","2023-07-30T15:24:32.489Z"
"zu guter Letzt","last but not least","Zu guter Letzt fiel ihr noch ein Argument ein.","2023-07-10T15:29:44.791Z"
"Das Deckenlicht","Ceiling light","","2023-07-30T15:12:51.799Z"
"imstande sein","to be able","Ich bin imstande diese Aufgabe zu machen.","2023-07-10T15:30:04.720Z"
"schicken","to send","Schickst du mir die E-Mail?","2023-07-30T15:12:56.608Z"
"die Hitze","the heat","Die Hitze ist unerträglich.","2023-07-14T15:34:42.912Z"
"sich anmelden","to sign in","","2023-07-30T15:23:38.038Z"
"Ratet mal!","Guess!","","2023-07-30T15:24:24.465Z"
"das Urlaubsziel","the holiday destination","","2023-07-27T16:31:05.296Z"
"Der Boden","Floor","","2023-07-30T15:12:54.828Z"
"leer","empty","Das Haus ist leer.","2023-07-30T15:12:44.562Z"
"Verrückt","Crazy","Bist du verrückt?","2023-07-30T14:18:04.705Z"
"das Einrad","Unicycle","","2023-07-30T14:17:34.229Z"
"beenden","to end, finish","Wir sollten die Diskussion jetzt beenden.","2023-07-30T00:14:51.136Z"
"der Vermieter","the landlord","","2023-07-27T16:31:07.176Z"
"die Zimmerpflanze","the houseplant","","2023-07-27T16:31:14.665Z"
"Streiten (habe gestritten)","To argue","Die Spieler stritten mit dem Schiedsrichter.","2023-07-30T14:17:33.107Z"
"die Puppe","Doll","","2023-07-30T14:17:43.718Z"
"renovieren","renovate","","2023-07-30T14:18:20.031Z"
"der Teig","The dough","ein Teig für Kuchen","2023-07-30T14:17:31.673Z"
"erstellen","establish, generate, make","schaffen/erstellen.\nein Gebäude erstellen","2023-07-28T01:36:52.474Z"
"überbevölkert","overpopulated","Ist die Welt überbevölkert?","2023-07-10T15:29:35.714Z"
"sitzen","sit","sitzt · saß · hat gesessen\nich\tsitz(e)⁵\ndu\tsitzt\ner\tsitzt\nwir\tsitzen\nihr\tsitzt\nsie\tsitzen","2023-07-30T00:15:07.575Z"
"die Waffel","the waffle","","2023-07-27T16:31:39.881Z"
"senden","to send","sendet · sendete · hat gesendet\nich\tsend(e)⁵\ndu\tsendest\ner\tsendet\nwir\tsenden\nihr\tsendet\nsie\tsenden","2023-07-30T00:15:22.405Z"
"sinken","to sink","Das Schiff sinkt.","2023-07-30T00:15:20.767Z"
"die Ankunft","the arrival","","2023-07-27T16:31:17.176Z"
"greifen","to grab","hat gegriffen","2023-07-27T14:09:10.350Z"
"die Versicherung","the insurance","","2023-07-27T16:31:07.656Z"
"Sterne leuchten in der Nacht.","Stars shine in the night.","","2023-07-27T14:06:48.898Z"
"der Zirkus","the circus","","2023-07-27T16:30:50.177Z"
"der Vorname","the first name","","2023-07-27T16:31:08.714Z"
"die Absage","the cancellation","","2023-07-27T16:31:16.712Z"
"Er lernt für die Prüfung.","He is studying for the exam.","","2023-07-23T12:36:47.997Z"
"die Bahn","the railway","","2023-07-21T15:16:14.972Z"
"die Wohnungsanzeige","the flat advertisement","","2023-07-27T16:31:12.297Z"
"genügen (hat genügt)","to suffice","","2023-07-23T12:39:01.223Z"
"sich anpassen an","adapt","Sie ist wie ein Chamäleon: Sie passt sich an alles und jeden an.","2023-07-22T23:21:08.985Z"
"Wann stehst du auf?","when do you get up?","","2023-07-27T14:04:52.691Z"
"die Zukunft","the future","","2023-07-27T16:30:50.629Z"
"das Kleid","the dress","","2023-07-27T16:31:47.149Z"
"die Haut","the skin","","2023-07-27T16:30:55.390Z"
"das Abendessen","the dinner","","2023-07-27T16:31:45.523Z"
"die Ecke","the corner","","2023-07-27T16:30:55.917Z"
"die Traube","the grape","","2023-07-27T16:31:37.764Z"
"die Gurke","the cucumber","","2023-07-27T16:31:39.306Z"
"der Apfel","the Apple","","2023-07-27T16:31:41.341Z"
"die Blume","the flower","","2023-07-27T16:31:48.013Z"
"das Essen","the food","","2023-07-27T16:31:42.690Z"
"die Wohnung","the apartment","","2023-07-27T16:31:45.913Z"
"das Eis","the ice","","2023-07-27T16:31:43.063Z"
"das Fleisch","the meat","","2023-07-27T16:31:42.229Z"
"die Demokratie","the democracy","","2023-07-27T16:31:32.478Z"
"das Glas","the glass","","2023-07-27T16:31:35.417Z"
"der Honig","the honey","","2023-07-27T16:31:36.328Z"
"das Berufsziel","the career objective","","2023-07-27T16:31:29.199Z"
"die Milch","the milk","","2023-07-27T16:31:41.818Z"
"das Bett","the bed","","2023-07-27T16:31:29.983Z"
"erhalten","to receive","Sie haben immer ein Recht Ihren Lohn zu erhalten.","2023-07-28T01:37:08.761Z"
"die Einladung","the invitation","","2023-07-27T16:31:33.654Z"
"das Weinglas","the wine glass","","2023-07-27T16:31:10.918Z"
"das Zeugnis","the testimony","","2023-07-27T16:31:14.215Z"
"der Erfolg","the success","","2023-07-27T16:31:34.565Z"
"die Bohne","the bean","","2023-07-27T16:31:37.196Z"
"die Übung","the exercise","","2023-07-27T16:30:51.187Z"
"der Schmuck","the jewelery","","2023-07-27T16:30:59.744Z"
"das Wasser","the water","","2023-07-27T16:31:09.952Z"
"das Dorf","the village","","2023-07-27T16:30:54.692Z"
"feststellen","determine","hat festgestellt","2023-07-27T14:08:27.633Z"
"das Kissen","the pillow","","2023-07-27T16:30:56.449Z"
